"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32842","Login with standard_user, add 3 items to cart, verify cart and checkout","chromium","2026-05-09","broken","2026-05-09","Standrad User Login, Cart, Checkout","q2.spec.ts","",""
"","5125","get started link","chromium","2026-05-10","passed","2026-05-10","","example.spec.ts","",""
"","8629","Login with locked_out_user and verify the error message","chromium","2026-05-09","failed","2026-05-09","Locked Out User Test","q2.spec.ts","",""
"","5671","Login with Locked Out User and verify the error message","chromium","2026-05-10","passed","2026-05-10","Locked Out User Test","q1.spec.ts","",""
"","29399","Login, Filter, Add First Item to Cart, Checkout, Logout","chromium","2026-05-10","passed","2026-05-10","Performance Glitch User Login, Filter, Cart, Checkout","q3.spec.ts","",""
"","10872","Login with locked_out_user and verify the error message","chromium","2026-05-09","passed","2026-05-09","Locked Out User Test","locked-out-user.spec.ts","",""
"","26780","Login, Add Items to Cart, Checkout, Logout","chromium","2026-05-10","passed","2026-05-10","Standrad User Login, Cart, Checkout","q2.spec.ts","",""
"","7976","Login with locked_out_user and verify the error message","chromium","2026-05-10","passed","2026-05-10","Locked Out User Test","q1.spec.ts","",""
"","9627","login with locked_out_user and verify the error message","chromium","2026-05-09","failed","2026-05-09","Locked Out User Test","locked-out-user.spec.ts","",""
"","4","has title","chromium","2026-05-10","skipped","2026-05-10","","example.spec.ts","",""
